"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1105","존재하지 않는 키워드 검색 시 안내 문구 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","193","중복된 아이디로 가입 시도시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","445","로그인 페이지 UI 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","566","전체 항목 미입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","462","가입된 이름에 불일치 이메일 입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","550","이메일 미입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","667","이름만 입력하고 이메일 미입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","3954","내 글 - 타인 댓글 [수정] 버튼 미노출 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","190","비밀번호 8자 미만 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","421","유효한 정보로 가입 성공 및 화면 이동 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","1010","일치 정보 입력 시 비밀번호 재설정 화면 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","3969","타인 글 - 타인 댓글 [수정] 버튼 미노출 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","224","비밀번호 숫자만 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","615","아이디 미입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","4849","타인 글 - 내 댓글 [삭제] 가능 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","2277","본인 작성 댓글 삭제 및 목록 제거 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","4252","타인 글 - 내 댓글 [수정] 가능 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","574","미등록 아이디 입력 시 실패 메시지 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","445","비밀번호 찾기 페이지에서 회원가입 이동 링크 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","634","필드 전체 미입력 시 실패 메시지 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","180","이름에 특수문자 포함 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","1083","비밀번호 찾기 텍스트 링크 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","244","비밀번호 영문만 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","1397","비밀번호 재설정 확인","tests","2026-09-08","passed","2026-09-08","","test_reset_pw","",""
"","1134","결과 페이지 [확인] 버튼 클릭 시 메인 이동 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","363","비밀번호 재설정 페이지 UI 확인","tests","2026-09-08","passed","2026-09-08","","test_reset_pw","",""
"","591","등록된 아이디에 불일치 이메일 입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","659","이름 미입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","181","이메일 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","655","이메일만 입력하고 이름 미입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","1041","목록 하단 페이징(다음 페이지) 클릭 시 정상 전환 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","1150","게시글 키워드로 검색 시 검색 결과 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","218","비밀번호 16자 초과 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","748","등록된 아이디에 불일치 이름 입력 시 실패 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","1145","회원가입 텍스트 링크 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","1126","타인이 작성한 게시글 조회 시 [삭제] 버튼 미노출 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","543","회원가입 이동 링크 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","186","이메일 도메인 미포함 형식 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","864","잘못된 비밀번호 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","626","아이디 찾기 이동 링크 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","210","아이디 특수문자 포함 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","190","이름에 숫자 포함 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","2213","비밀번호 재설정 후 로그인 확인","tests","2026-09-08","passed","2026-09-08","","test_reset_pw","",""
"","1557","본인 작성 글 수정 후 상태 유지 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","224","전체 입력 필드 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","200","아이디 10자 초과 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","1505","본인 작성 글 삭제 완료 및 목록 미노출 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","192","비밀번호와 비밀번호 확인 불일치 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","948","로그인 완료 후 메인 화면 버튼 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","556","아이디 찾기 페이지 UI 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","1181","신규 게시글 작성 후 목록 및 상세 화면 반영 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","189","이름 10자 초과 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","461","미등록 계정 정보로 로그인 시도시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","4129","내 글 - 타인 댓글 [삭제] 버튼 미노출 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","1089","비밀번호 불일치 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_reset_pw","",""
"","1036","로그아웃 시 메인 화면 노출 및 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","1051","로그인 이동 텍스트 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","641","비밀번호 찾기 이동 링크 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","476","아이디 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","1478","상세 페이지에서 댓글 작성 시 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","28","회원가입 페이지 UI 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","4113","타인 글 - 타인 댓글 [삭제] 버튼 미노출 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","1239","타인이 작성한 게시글 조회 시 [수정] 버튼 미노출 확인","tests","2026-09-08","passed","2026-09-08","","test_post","",""
"","221","비밀번호 확인 필드 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
